LikelihoodQRing,LikelihoodTRing,LikelihoodThetaRing,LikelihoodPhiRing
-0.275042,0.0201257,-0.31902,0.109314
-0.376954,-0.867067,-1.78144,-0.699702
-0.633656,-0.509614,-0.854346,-0.798055
0.0939086,-0.451415,-0.123878,-0.0875591
-0.428217,-0.899094,-2.40846,-0.75105
0.308087,-0.0701802,0.00138217,0.250112
-0.779811,0.0346451,0.0769333,-0.0564016
-0.0109781,0.128752,0.0981164,0.307892
0.324005,-0.572019,-0.529479,-0.164602
0.553272,-0.00655495,-0.37081,0.270768
-0.76774,0.03497,0.110506,0.173025
-0.625103,-0.0317997,0.178614,-0.541989
-0.0411749,-0.0228553,-0.0404844,-0.328619
-1.34692,0.00108798,0.016373,0.155
-1.03453,-1.77156,-2.55329,-0.756332
0.587441,0.0391265,-0.0382226,0.360723
-0.751222,0.00699631,-0.460071,-0.149231
-0.475137,-0.427123,-0.573464,0.115568
0.152724,0.0809787,0.147604,0.306003
-2.23173,-1.16471,-7.57436,-3.1336
-0.76781,-0.352529,-0.896752,0.146528
0.118984,0.114244,0.116598,0.290946
0.361516,-0.0803803,-0.0141968,-1.53783
-1.46513,-1.3173,-1.54359,-1.42527
0.243082,-0.000112941,0.110081,0.129596
-0.0114831,-0.27161,-1.14039,0.0277107
0.0754451,-0.37174,-0.828279,0.112613
-1.42246,-0.670973,-2.27782,-0.578893
-0.7405,-0.155573,0.0946303,-0.722868
0.81591,-0.483709,-0.70129,-0.272949
-0.813879,-0.350779,-1.44493,-0.0026939
-0.289737,0.034057,-0.143411,0.204995
0.0954474,0.0223313,0.111438,0.173924
0.164904,-0.197784,0.201009,0.213892
-0.668951,-0.00868054,0.119288,0.160209
-0.897839,-0.827911,-0.644748,-1.59904
-0.626798,-0.423232,-0.193915,-0.412365
-1.87,-1.21664,-1.04878,-0.948317
0.109649,-0.419017,-0.317683,0.111458
-1.26525,-0.700682,-2.43123,-1.01769
-0.912369,-0.658303,-2.05682,-0.419535
-0.204566,0.0334729,0.112238,-0.877418
0.228289,-0.422147,-0.0162834,-0.0870106
-0.291923,-0.243576,-0.317922,0.123932
