LikelihoodQ,LikelihoodT,LikelihoodTheta,LikelihoodPhi
0.750255,-0.658608,-0.22593,-0.0143853
0.694278,-0.0497311,0.130266,0.136353
1.24466,0.0512343,0.0420768,-1.25624
0.40766,0.126679,0.0782293,0.271553
-1.12603,-0.038734,-0.125726,-0.0154748
1.06515,0.110753,0.132632,0.126365
1.4239,0.0932918,0.114218,0.235878
0.836849,0.0881344,0.0593712,0.223876
0.501736,0.23764,0.0880483,0.201548
0.900626,0.185232,0.0898609,0.114883
0.320126,0.138279,0.112539,0.227983
0.418194,-0.728604,0.0867097,-0.674838
0.516828,0.040804,-0.868715,-1.04836
1.08079,-0.00317996,0.0845555,0.234774
0.795792,-0.203156,0.0919453,0.0500068
1.16277,0.221104,0.0543717,0.123244
-2.05705,-1.8994,-0.00577718,0.212044
0.507159,-0.640557,-0.156704,-0.339043
1.82433,-1.02485,-0.222781,-0.241186
0.411214,-1.506,-2.29527,-0.864389
1.18954,0.830331,0.0772562,-0.149387
1.07637,0.0415004,-0.0165549,0.134008
0.252164,0.017294,-0.0162983,0.148019
1.06598,-0.380771,0.090188,-0.511627
1.6053,-0.491297,-0.123018,-0.0243514
1.68054,-0.0451664,0.00758196,-2.7147
-0.136299,1.00877,0.0791336,-0.199124
1.31768,-0.890334,-0.711584,-0.971314
0.119305,-0.51568,-4.36017,-2.04156
